gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1425113163	6a01a01f-10a9-49bc-b0d1-2bd04493dc20	Ama_3886	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera leo		SPECIES	Panthera leo (Linnaeus, 1758)	BJ	Biosphere Reserve of Pendjari	616e379f-90ed-4c21-9793-8e20f982e9d1	11.45179	1.46994							2016-02-04T01:00Z	4	2	2016	5219404	5219404	HUMAN_OBSERVATION	DGEFC	SSEPENDJ_2016	SSEPENDJ_LT_2016_1768			CC_BY_4_0		AMAHOWE O. Isidore; NSERA Parfait;  KOUTON Méryas; MOUTOUAMA Jacob K.			2017-01-19T12:59Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;IDENTIFIED_DATE_UNLIKELY
1425113144	6a01a01f-10a9-49bc-b0d1-2bd04493dc20	Ama_3887	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera leo		SPECIES	Panthera leo (Linnaeus, 1758)	BJ	Biosphere Reserve of Pendjari	616e379f-90ed-4c21-9793-8e20f982e9d1	11.46455	1.47035							2016-06-08T02:00Z	8	6	2016	5219404	5219404	HUMAN_OBSERVATION	DGEFC	SSEPENDJ_2016	SSEPENDJ_LT_2016_1769			CC_BY_4_0		AMAHOWE O. Isidore; NSERA Parfait;  KOUTON Méryas; MOUTOUAMA Jacob K.			2017-01-19T12:59Z		COUNTRY_COORDINATE_MISMATCH;RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;IDENTIFIED_DATE_UNLIKELY
1425113139	6a01a01f-10a9-49bc-b0d1-2bd04493dc20	Ama_3884	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera leo		SPECIES	Panthera leo (Linnaeus, 1758)	BJ	Biosphere Reserve of Pendjari	616e379f-90ed-4c21-9793-8e20f982e9d1	11.44658	1.49126							2016-03-17T01:00Z	17	3	2016	5219404	5219404	HUMAN_OBSERVATION	DGEFC	SSEPENDJ_2016	SSEPENDJ_LT_2016_1765			CC_BY_4_0		AMAHOWE O. Isidore; NSERA Parfait;  KOUTON Méryas; MOUTOUAMA Jacob K.			2017-01-19T12:59Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;IDENTIFIED_DATE_UNLIKELY
1425113138	6a01a01f-10a9-49bc-b0d1-2bd04493dc20	Ama_3888	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera leo		SPECIES	Panthera leo (Linnaeus, 1758)	BJ	Biosphere Reserve of Pendjari	616e379f-90ed-4c21-9793-8e20f982e9d1	11.40803	1.58874							2016-01-11T01:00Z	11	1	2016	5219404	5219404	HUMAN_OBSERVATION	DGEFC	SSEPENDJ_2016	SSEPENDJ_LT_2016_1770			CC_BY_4_0		AMAHOWE O. Isidore; NSERA Parfait;  KOUTON Méryas; MOUTOUAMA Jacob K.			2017-01-19T12:59Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;IDENTIFIED_DATE_UNLIKELY
1425113105	6a01a01f-10a9-49bc-b0d1-2bd04493dc20	Ama_3885	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera leo		SPECIES	Panthera leo (Linnaeus, 1758)	BJ	Biosphere Reserve of Pendjari	616e379f-90ed-4c21-9793-8e20f982e9d1	11.44816	1.47939							2016-03-24T01:00Z	24	3	2016	5219404	5219404	HUMAN_OBSERVATION	DGEFC	SSEPENDJ_2016	SSEPENDJ_LT_2016_1766			CC_BY_4_0		AMAHOWE O. Isidore; NSERA Parfait;  KOUTON Méryas; MOUTOUAMA Jacob K.			2017-01-19T12:59Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;IDENTIFIED_DATE_UNLIKELY
1425111833	6a01a01f-10a9-49bc-b0d1-2bd04493dc20	Ama_2582	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera leo		SPECIES	Panthera leo (Linnaeus, 1758)	BJ	Biosphere Reserve of Pendjari	616e379f-90ed-4c21-9793-8e20f982e9d1	11.24228	1.35556							2015-07-03T02:00Z	3	7	2015	5219404	5219404	HUMAN_OBSERVATION	DGEFC	SSEPENDJ_2015	SSEPENDJ_LT_2015_894			CC_BY_4_0		AMAHOWE O. Isidore; NSERA Parfait;  KOUTON Méryas; MOUTOUAMA Jacob K.			2017-01-19T12:59Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;IDENTIFIED_DATE_UNLIKELY
1425111832	6a01a01f-10a9-49bc-b0d1-2bd04493dc20	Ama_2584	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera leo		SPECIES	Panthera leo (Linnaeus, 1758)	BJ	Biosphere Reserve of Pendjari	616e379f-90ed-4c21-9793-8e20f982e9d1	11.3972	1.64217							2015-07-05T02:00Z	5	7	2015	5219404	5219404	HUMAN_OBSERVATION	DGEFC	SSEPENDJ_2015	SSEPENDJ_LT_2015_896			CC_BY_4_0		AMAHOWE O. Isidore; NSERA Parfait;  KOUTON Méryas; MOUTOUAMA Jacob K.			2017-01-19T12:59Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;IDENTIFIED_DATE_UNLIKELY
1425111820	6a01a01f-10a9-49bc-b0d1-2bd04493dc20	Ama_2586	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera leo		SPECIES	Panthera leo (Linnaeus, 1758)	BJ	Biosphere Reserve of Pendjari	616e379f-90ed-4c21-9793-8e20f982e9d1	11.39426	1.61864							2015-07-07T02:00Z	7	7	2015	5219404	5219404	HUMAN_OBSERVATION	DGEFC	SSEPENDJ_2015	SSEPENDJ_LT_2015_898			CC_BY_4_0		AMAHOWE O. Isidore; NSERA Parfait;  KOUTON Méryas; MOUTOUAMA Jacob K.			2017-01-19T12:59Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;IDENTIFIED_DATE_UNLIKELY
1425111808	6a01a01f-10a9-49bc-b0d1-2bd04493dc20	Ama_2583	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera leo		SPECIES	Panthera leo (Linnaeus, 1758)	BJ	Biosphere Reserve of Pendjari	616e379f-90ed-4c21-9793-8e20f982e9d1	11.27381	1.33459							2015-07-04T02:00Z	4	7	2015	5219404	5219404	HUMAN_OBSERVATION	DGEFC	SSEPENDJ_2015	SSEPENDJ_LT_2015_895			CC_BY_4_0		AMAHOWE O. Isidore; NSERA Parfait;  KOUTON Méryas; MOUTOUAMA Jacob K.			2017-01-19T12:59Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;IDENTIFIED_DATE_UNLIKELY
1425111803	6a01a01f-10a9-49bc-b0d1-2bd04493dc20	Ama_2585	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera leo		SPECIES	Panthera leo (Linnaeus, 1758)	BJ	Biosphere Reserve of Pendjari	616e379f-90ed-4c21-9793-8e20f982e9d1	11.4056	1.68478							2015-07-06T02:00Z	6	7	2015	5219404	5219404	HUMAN_OBSERVATION	DGEFC	SSEPENDJ_2015	SSEPENDJ_LT_2015_897			CC_BY_4_0		AMAHOWE O. Isidore; NSERA Parfait;  KOUTON Méryas; MOUTOUAMA Jacob K.			2017-01-19T12:59Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;IDENTIFIED_DATE_UNLIKELY
